

State,Post office abbreviation,FIPS code,FIPS code,Unit,1980,1981 ,1982,1983,1984,1985,1986,1987,1988,1989 ,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Ohio ,OH,39000,39,"1,000","10,798","10,788","10,757","10,738","10,738","10,735","10,730","10,760","10,799","10,829","10,847","10,946","11,029","11,101","11,152","11,203","11,243","11,277","11,312","11,335","11,353","11,393","11,415","11,436","11,453","11,460","11,464","11,467"
Oklahoma ,OK,40000,40,"1,000","3,025","3,096","3,206","3,290","3,286","3,271","3,253","3,210","3,167","3,150","3,146","3,175","3,221","3,252","3,281","3,308","3,340","3,373","3,405","3,437","3,451","3,465","3,486","3,500","3,517","3,536","3,578","3,617"
Oregon ,OR,41000,41,"1,000","2,633","2,668","2,665","2,653","2,667","2,673","2,684","2,701","2,741","2,791","2,842","2,929","2,992","3,060","3,121","3,184","3,247","3,304","3,352","3,394","3,421","3,472","3,522","3,557","3,583","3,630","3,691","3,747"
Pennsylvania ,PA,42000,42,"1,000","11,864","11,859","11,845","11,838","11,815","11,771","11,783","11,811","11,846","11,866","11,883","11,982","12,049","12,120","12,166","12,198","12,220","12,228","12,246","12,264","12,281","12,288","12,306","12,327","12,349","12,367","12,403","12,433"
Rhode Island ,RI,44000,44,"1,000",947,953,954,956,962,969,977,990,996,"1,001","1,003","1,011","1,013","1,015","1,016","1,017","1,021","1,025","1,031","1,040","1,048","1,058","1,067","1,073","1,073","1,067","1,062","1,058"
South Carolina ,SC,45000,45,"1,000","3,122","3,179","3,208","3,234","3,272","3,303","3,343","3,381","3,412","3,457","3,486","3,570","3,620","3,663","3,705","3,749","3,796","3,860","3,919","3,975","4,012","4,063","4,105","4,147","4,201","4,255","4,330","4,408"
South Dakota ,SD,46000,46,"1,000",691,690,691,693,697,698,696,696,698,697,696,704,713,722,731,738,742,744,746,750,755,759,762,767,774,780,788,796
Tennessee ,TN,47000,47,"1,000","4,591","4,628","4,646","4,660","4,687","4,715","4,739","4,783","4,822","4,854","4,877","4,967","5,050","5,138","5,231","5,327","5,417","5,499","5,570","5,639","5,689","5,755","5,802","5,853","5,912","5,989","6,075","6,157"
Texas ,TX,48000,48,"1,000","14,229","14,746","15,331","15,752","16,007","16,273","16,561","16,622","16,667","16,807","16,986","17,398","17,760","18,162","18,564","18,959","19,340","19,740","20,158","20,558","20,852","21,340","21,730","22,086","22,455","22,844","23,408","23,904"
Utah ,UT,49000,49,"1,000","1,461","1,515","1,558","1,595","1,622","1,643","1,663","1,678","1,689","1,706","1,723","1,780","1,837","1,898","1,960","2,014","2,068","2,120","2,166","2,203","2,233","2,292","2,337","2,373","2,431","2,505","2,580","2,645"
